tipo,N,IOs_insert,nodos,tam_bytes,tiempo_busqueda_ms,IOs_busqueda,tiempo_insert_ms
B,32768,163549,132,540672,2.15421,3366,12.1716
B+,32768,163549,132,540672,0.05177,76.5,12.0727
B,65536,327782,263,1077248,3.91271,6706.5,25.7745
B+,65536,327785,264,1081344,0.051038,76.5,23.0648
B,131072,755645,531,2174976,8.16988,13540.5,51.3715
B+,131072,756381,533,2183168,0.067214,102,52.9075
B,262144,1674742,1062,4349952,16.4654,27081,111.848
B+,262144,1675499,1071,4386816,0.070934,102,115.34
B,524288,3512981,2139,8761344,34.2572,54544.5,233.047
B+,524288,3513732,2146,8790016,0.066324,102,239.342
B,1048576,7189441,4287,17559552,68.636,109318,484.717
B+,1048576,7190213,4301,17616896,0.072412,102,493.01
B,2097152,14542415,8601,35229696,138.652,219326,1058.18
B+,2097152,14543178,8612,35274752,0.070206,102,1097.45
B,4194304,29248474,17266,70721536,288.325,440283,2469.78
B+,4194304,29249195,17263,70709248,0.072812,102,2445.37
B,8388608,58660829,34675,142028800,584.086,884212,5490.57
B+,8388608,58661289,34585,141660160,0.06981,102,5500.49
B,16777216,117485803,69581,285003776,1173.01,1.77432e+06,12227.5
B+,16777216,117486251,69487,284618752,0.065586,102,11990.4
B,33554432,262081613,139394,570957824,2365.72,3.55455e+06,26768.3
B+,33554432,262121654,139313,570626048,0.091798,127.5,26939.1
B,67108864,564491732,279471,1144713216,4774.31,7.12651e+06,58881.4
B+,67108864,564531629,279342,1144184832,0.092138,127.5,58703.1
