tipo,N,IOs_insert,nodos,tam_bytes,tiempo_busqueda_ms,IOs_busqueda,tiempo_insert_ms
B,32768,163549,132,540672,2.10286,0,7.4711
B+,32768,163549,132,540672,0.05143,0,7.254
B,65536,327782,263,1077248,3.723,0,16.2895
B+,65536,327785,264,1081344,0.051034,0,14.6876
B,131072,755645,531,2174976,8.00195,0,32.7045
B+,131072,756381,533,2183168,0.061446,0,31.3236
B,262144,1674742,1062,4349952,16.5831,0,68.8093
B+,262144,1675499,1071,4386816,0.062384,0,67.8047
B,524288,3512981,2139,8761344,34.2852,0,146.455
B+,524288,3513732,2146,8790016,0.063776,0,147.377
B,1048576,7189441,4287,17559552,68.7057,0,306.828
B+,1048576,7190213,4301,17616896,0.072688,0,302.277
B,2097152,14542415,8601,35229696,144.657,0,701.306
B+,2097152,14543178,8612,35274752,0.069572,0,711.047
B,4194304,29248474,17266,70721536,289.508,0,1719.29
B+,4194304,29249195,17263,70709248,0.069586,0,1735.13
B,8388608,58660829,34675,142028800,583.837,0,4004.38
B+,8388608,58661289,34585,141660160,0.07108,0,3972.7
B,16777216,117485803,69581,285003776,1185.55,0,8989.24
B+,16777216,117486251,69487,284618752,0.075476,0,8939.76
B,33554432,262081613,139394,570957824,2392.13,0,20313.6
B+,33554432,262121654,139313,570626048,0.084866,0,20157
B,67108864,564491732,279471,1144713216,4841.29,0,44662.7
B+,67108864,564531629,279342,1144184832,0.082066,0,45740.4
